TY,EYE,GUSTS,MRD,MSLP,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME,VMAX,YYYYMMDDHH
ST,0.030964334664215623,0.0,0.018578600798529375,0.6371771977569703,0.023395275079629584,0.12385733865686249,0.13761926517429166,0.14794071006236353,0.15482167332107813,0.6887844221973297,0.17202408146786458,ATSANI,0.08945252236328959,2015082006
ST,0.03428806913121428,0.0,0.02057284147872857,0.6322719947795914,0.02331588700922571,0.1474386972642214,0.15086750417734285,0.1474386972642214,0.1474386972642214,0.6871329053895342,0.1714403456560714,ATSANI,0.09257778665427856,2015081918
ST,0.030820002100128283,0.0,0.018492001260076968,0.6342071543270842,0.023286223808985814,0.14725112114505734,0.15067556582284938,0.14725112114505734,0.14725112114505734,0.686258713429523,0.17122223388960156,ATSANI,0.08903556162259281,2015082000
ST,0.024279342022177488,0.0,0.015261300699654421,0.6368124564673981,0.02358564653582956,0.14914452956480456,0.1595499618600235,0.1179282326791478,0.12139671011088744,0.6964702682933199,0.14914452956480456,ATSANI,0.09711736808870995,2015081912
ST,0.00699758880140357,0.0,0.00699758880140357,0.6479767230099707,0.02379180192477214,0.11546021522315891,0.1189590096238607,0.1189590096238607,0.11546021522315891,0.7025579156609185,0.15044815923017676,ATSANI,0.09096865441824642,2015081900
ST,0.014014549820461545,0.0,0.010510912365346159,0.6460707467232772,0.023824734694784626,0.11562003601880774,0.11912367347392314,0.11912367347392314,0.11562003601880774,0.7035304009871696,0.15065641056996162,ATSANI,0.09459821128811544,2015081906
ST,0.031559673586127726,0.0,0.018935804151676634,0.6494279497945394,0.035066303984586364,0.10519891195375908,0.11571880314913499,0.10169228155530044,0.09467902075838318,0.702027405771419,0.1753315199229318,ATSANI,0.09117239035992454,2015082006
ST,0.03538022010282272,0.0,0.021228132061693633,0.652411258696051,0.03538022010282272,0.08491252824677453,0.08845055025705681,0.08137450623649226,0.08137450623649226,0.7090196108605673,0.17690110051411362,ATSANI,0.09552659427762135,2015081918
ST,0.03179907096908711,0.0,0.019079442581452263,0.6543542159416592,0.03533230107676345,0.08479752258423229,0.08833075269190864,0.08126429247655595,0.08126429247655595,0.7080593135783396,0.17666150538381728,ATSANI,0.09186398279958498,2015082000
ST,0.007161484787180241,0.0,0.007161484787180241,0.6631534912928904,0.03580742393590121,0.053711135903851806,0.046549651116671566,0.039388166329491325,0.053711135903851806,0.7190130726328963,0.1539719229243752,ATSANI,0.09309930223334313,2015081900
ST,0.01434373716251857,0.0,0.010757802871888928,0.6612462831921061,0.03585934290629642,0.05378901435944464,0.046617145778185355,0.03944527719692607,0.05378901435944464,0.7200556055584322,0.15419517449707462,ATSANI,0.09682022584700034,2015081906
