TY,EYE,GUSTS,MRD,MSLP,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME,VMAX,YYYYMMDDHH
ST,0.014103863826316511,0.0,0.014103863826316511,0.6501881223931912,0.02397656850473807,0.11283091061053209,0.09872704678421558,0.09167511487105733,0.09167511487105733,0.7066035776984573,0.16924636591579814,WIPHA,0.09520108082763645,2007091800
ST,0.014091546187316806,0.0,0.010568659640487605,0.6524385884727681,0.02395562851843857,0.11273236949853445,0.09864082331121764,0.09159505021755923,0.09159505021755923,0.705986463984572,0.16557566770097246,WIPHA,0.09159505021755923,2007091806
ST,0.014300814725070412,0.0,0.014300814725070412,0.6592675588257461,0.03575203681267603,0.05720325890028165,0.05720325890028165,0.04647764785647884,0.053628055219014044,0.7164708177260277,0.17160977670084496,WIPHA,0.09653049939422528,2007091800
ST,0.01429061841335658,0.0,0.010717963810017434,0.6616556325384096,0.03572654603339145,0.05716247365342632,0.05716247365342632,0.046444509843408886,0.05001716444674803,0.7159599825091646,0.1679147663569398,WIPHA,0.09288901968681777,2007091806
ST,0.014335595318305945,0.0,0.014335595318305945,0.660870944173904,0.04587390501857902,0.039422887125341345,0.039422887125341345,0.03583898829576486,0.039422887125341345,0.7182133254471278,0.17202714381967132,WIPHA,0.09676526839856513,2007091800
ST,0.014322661060645694,0.0,0.01074199579548427,0.6631392071078956,0.04583251539406622,0.039387317916775653,0.039387317916775653,0.035806652651614236,0.039387317916775653,0.7175653191383492,0.1682912674625869,WIPHA,0.093097296894197,2007091806
ST,0.01429224481530211,0.0,0.010719183611476581,0.6617309349484877,0.03623949891401232,0.05626025269735657,0.05626025269735657,0.04590455971142074,0.04947762091524627,0.7160414652466357,0.16793387657979977,WIPHA,0.09289959129946372,2007091806
ST,0.014098335047936844,0.0,0.010573751285952634,0.6527529127194759,0.02435704623485578,0.11083729711667901,0.0972263078854461,0.0900553039073017,0.09017714036147767,0.7063265859016359,0.1656554368132579,WIPHA,0.09163917781158948,2007091806
ST,0.01432842189402969,0.0,0.013758614627586525,0.6609960951279231,0.04425548971485414,0.04225219654079746,0.04225219654079746,0.03753047653440371,0.04111258200791114,0.7178539368908874,0.1713712554619131,WIPHA,0.09614704051825723,2007091800
ST,0.014217987288492308,0.0,0.012350331519416002,0.6569433386147565,0.03537651300489475,0.07452312715733607,0.06777576294514898,0.06253442506997914,0.06440208083905544,0.7123211631534646,0.1687481916928314,WIPHA,0.09410375842824677,2007091803
ST,0.014298376030583157,0.0,0.014298376030583157,0.6591551350098835,0.04235688943699155,0.051213232597164614,0.04894795668991491,0.04480704370545669,0.04781531873629006,0.7163486391322161,0.17158051236699787,WIPHA,0.09651403820643631,2007091800
ST,0.014318349650939147,0.0,0.011444334474846956,0.6623751310491685,0.043843116620406006,0.04290332272329563,0.04290332272329563,0.03791259083727566,0.042197750486653036,0.7173493175120512,0.16894618063517758,WIPHA,0.09377484496774705,2007091804
ST,0.014308365773003371,0.0,0.010731274329752526,0.662477335290056,0.04132390730023906,0.047317404399637344,0.047317404399637344,0.04055255354683528,0.04412964499008611,0.7168491252274688,0.16812329783278962,WIPHA,0.09300437752452191,2007091806
ST,0.014328636389450493,0.0,0.014328636389450493,0.6605501375536676,0.04384871354895265,0.042980398101861925,0.042980398101861925,0.03796757979215007,0.04226506849568731,0.7178646831114697,0.1719436366734059,WIPHA,0.09671829562879082,2007091800
ST,0.01426537169797547,0.0,0.011175692079910251,0.6601053789711213,0.03413810666436699,0.06468809969476028,0.06278144646904568,0.052559081001992726,0.05564876062005795,0.714695122068571,0.16809478075764042,WIPHA,0.09320157934326921,2007091805
