TY,EYE,GUSTS,MRD,MSLP,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME,VMAX,YYYYMMDDHH
TD,0.0,0.0,0.024500764313264315,0.7000218375218376,0.0,0.0,0.0,0.0,0.0,0.7056220122220123,0.10500327562827563,HALOLA,0.02100065512565513,2015071718
TD,0.0,0.0,0.024452134602490374,0.6986324172140106,0.0,0.0,0.0,0.0,0.0,0.7042214765517227,0.12226067301245186,HALOLA,0.02095897251642032,2015071906
TD,0.0,0.0,0.024452134602490374,0.6986324172140106,0.0,0.0,0.0,0.0,0.0,0.7042214765517227,0.12226067301245186,HALOLA,0.02095897251642032,2015071912
TS,0.0,0.0,0.010475194933945208,0.6955529436139618,0.023743775183609137,0.04539251138042923,0.03491731644648403,0.031425584801835625,0.03491731644648403,0.706028138547907,0.10475194933945207,HALOLA,0.024442121512538818,2015071700
TS,0.0,0.0,0.014050675360097969,0.6997236329328789,0.0,0.0,0.0,0.0,0.0,0.7088565719169425,0.08430405216058781,HALOLA,0.024588681880171444,2015071706
TS,0.0,0.0,0.014064676742410838,0.7004209017720596,0.0,0.0,0.0,0.0,0.0,0.7081564739803856,0.08438806045446502,HALOLA,0.024613184299218965,2015071712
TS,0.0,0.0,0.02101919824456004,0.6978373817193934,0.0,0.0,0.0,0.0,0.0,0.705544421075732,0.1191087900525069,HALOLA,0.024522397951986713,2015071918
TS,0.0,0.0,0.01047161307316929,0.6827491723706377,0.023735656299183724,0.07330129151218504,0.06282967843901574,0.06282967843901574,0.06632021613007218,0.7043905060551876,0.13264043226014435,HALOLA,0.04188645229267716,2015072506
TS,0.0,0.0,0.010488584720037676,0.6866526796717998,0.02377412536541873,0.06642770322690528,0.048946728693509155,0.048946728693509155,0.059435313413546825,0.7055321321678676,0.1258630166404521,HALOLA,0.03845814397347148,2015072512
TS,0.0,0.0,0.017495946833562818,0.689340305242375,0.023794487693645432,0.04898865113397589,0.0384910830338382,0.017495946833562818,0.05598702986740101,0.7061364142025953,0.12947000656836485,HALOLA,0.034991893667125636,2015072012
TS,0.0,0.0,0.01752483592067139,0.6855715812166647,0.02383377685211309,0.04906954057787989,0.03855463902547706,0.01752483592067139,0.05607947494614845,0.708704364631951,0.13318875299710256,HALOLA,0.042059606209611335,2015072018
TS,0.0,0.0,0.024493042025209317,0.6921033875123432,0.02379324082448905,0.055984096057621294,0.048986084050418634,0.06298210806482396,0.055984096057621294,0.704699809125308,0.09797216810083727,HALOLA,0.03149105403241198,2015072600
TS,0.0,0.0,0.024448167255481556,0.6936294309912339,0.023749648191039228,0.05588152515538641,0.04889633451096311,0.06286671579980972,0.05588152515538641,0.7034086978934265,0.09779266902192622,HALOLA,0.027940762577693207,2015072606
TS,0.0,0.0,0.024549818184168674,0.6909020260401756,0.023848394807478142,0.06312810390214801,0.05611387013524268,0.05611387013524268,0.04909963636833735,0.7056319169506767,0.0981992727366747,HALOLA,0.03507116883452668,2015072518
TS,0.0,0.0,0.010540300941974286,0.6872276214167234,0.03513433647324762,0.03162090282592286,0.028107469178598094,0.028107469178598094,0.03864777012057238,0.7090109100301369,0.13351047859834095,HALOLA,0.04216120376789714,2015072506
TS,0.0,0.0,0.010475194933945208,0.6955529436139618,0.023743775183609137,0.04539251138042923,0.03491731644648403,0.031425584801835625,0.03491731644648403,0.706028138547907,0.10475194933945207,HALOLA,0.024442121512538818,2015071618
TS,0.0,0.038138984966511295,0.024270263160507188,0.6948229624808058,0.02357682707020698,0.027737443612008212,0.013868721806004106,0.013868721806004106,0.027737443612008212,0.7003704512032074,0.14562157896304312,HALOLA,0.03120462406350924,2015071118
TS,0.0,0.038138984966511295,0.024270263160507188,0.6948229624808058,0.02357682707020698,0.027737443612008212,0.013868721806004106,0.013868721806004106,0.027737443612008212,0.7003704512032074,0.14562157896304312,HALOLA,0.03120462406350924,2015071200
TS,0.0,0.0,0.017539537109638095,0.693864088057283,0.023853770469107808,0.03507907421927619,0.03157116679734857,0.017539537109638095,0.02806325937542095,0.7064925547762224,0.11926885234553904,HALOLA,0.03157116679734857,2015072006
TS,0.0,0.03467197123683692,0.020803182742102154,0.6955197430109487,0.023576940441049108,0.024270379865785847,0.013868788494734769,0.013868788494734769,0.024270379865785847,0.7003738189841059,0.14562227919471507,HALOLA,0.027737576989469537,2015071112
TS,0.0,0.0311374174854941,0.06919426107887577,0.6947103812319129,0.023526048766817766,0.020758278323662734,0.006919426107887578,0.006919426107887578,0.020758278323662734,0.6988620368966454,0.14530794826563914,HALOLA,0.024217991377606524,2015071100
