TY,EYE,GUSTS,MRD,MSLP,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME,VMAX,YYYYMMDDHH
ST,0.007141235974826608,0.0,0.007141235974826608,0.6584219568790133,0.024280202314410467,0.07141235974826608,0.05712988779861286,0.05712988779861286,0.07141235974826608,0.7176942154700741,0.15710719144618537,CHABA,0.09640668566015921,2016100300
ST,0.007179577885364992,0.0,0.007179577885364992,0.6540595453567507,0.02441056481024097,0.07179577885364992,0.06461620096828492,0.06461620096828492,0.07179577885364992,0.7215475774791816,0.14359155770729984,CHABA,0.10769366828047487,2016100306
ST,0.0071315339065155066,0.0,0.0071315339065155066,0.6546748126181235,0.024247215282152724,0.07131533906515507,0.08557840687818608,0.07131533906515507,0.07131533906515507,0.7181454643861115,0.14976221203682563,CHABA,0.0998414746912171,2016100312
ST,0.010693782582220084,0.0,0.008555026065776067,0.6594499259035718,0.024239240519698856,0.07842107226961395,0.08555026065776067,0.07129188388146722,0.07129188388146722,0.7186221895251896,0.12262204027612363,CHABA,0.09624404323998074,2016100318
ST,0.007225546693893437,0.0,0.007225546693893437,0.6582473038136921,0.03612773346946718,0.03901795214702456,0.033960069461299154,0.033960069461299154,0.03901795214702456,0.7261674427362904,0.14451093387786873,CHABA,0.10838320040840156,2016100306
ST,0.007182818286145801,0.0,0.007182818286145801,0.6622558459826429,0.035914091430729,0.038068936916572746,0.028731273144583205,0.028731273144583205,0.038068936916572746,0.721873237757653,0.15802200229520763,CHABA,0.09696804686296831,2016100300
ST,0.007187076353987114,0.0,0.007187076353987114,0.659773609296017,0.03593538176993557,0.038091504676131704,0.04743470393631495,0.038091504676131704,0.038091504676131704,0.7237385888465023,0.15092860343372938,CHABA,0.10061906895581958,2016100312
ST,0.010781352449656697,0.0,0.008625081959725356,0.6648500677288296,0.03593784149885565,0.04240665296864967,0.04671919394851235,0.03809411198878699,0.03809411198878699,0.7245068846169299,0.12362617475606344,CHABA,0.09703217204691027,2016100318
ST,0.007236363632823201,0.0,0.007236363632823201,0.6592327269501935,0.046312727250068485,0.02098545453518728,0.018090909082058,0.018090909082058,0.02098545453518728,0.7272545450987317,0.144727272656464,CHABA,0.10854545449234801,2016100306
ST,0.007191676739715723,0.0,0.007191676739715723,0.6630725954017896,0.046026731134180626,0.020136694871204026,0.015102521153403018,0.015102521153403018,0.020136694871204026,0.7227635123414302,0.15821688827374591,CHABA,0.09708763598616225,2016100300
