YYYYMMDDHH,TY,EYE,GUSTS,MRD,VMAX,MSLP,MAXSEAS,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME
2018070418, TS,50,35,35,35,35,1005,175,25,0,0,0,0,0,      MARIA
2018070500, TS,34,120,50,40,120,1006,185,30,0,0,0,0,0,      MARIA
2018070500, TS,50,50,25,25,50,1006,185,30,0,0,0,0,0,      MARIA
2018070506, TY,34,110,60,50,120,1005,180,20,0,0,0,0,0,      MARIA
2018070506, TY,50,50,25,25,50,1005,180,20,0,0,0,0,0,      MARIA
2018070506, TY,64,20,10,10,20,1005,180,20,0,0,0,0,0,      MARIA
2018070512, TY,34,135,80,60,110,1005,180,20,100,0,0,0,0,      MARIA
2018070512, TY,50,70,50,30,55,1005,180,20,100,0,0,0,0,      MARIA
2018070512, TY,64,30,30,25,30,1005,180,20,100,0,0,0,0,      MARIA
2018070518, TY,34,135,80,60,110,1005,190,10,0,0,0,0,0,      MARIA
2018070518, TY,50,70,50,40,55,1005,190,10,0,0,0,0,0,      MARIA
2018070518, TY,64,30,30,30,30,1005,190,10,0,0,0,0,0,      MARIA
2018070600, ST,34,140,110,80,110,1006,200,5,0,10,0,0,0,      MARIA
2018070600, ST,50,85,70,55,75,1006,200,5,0,10,0,0,0,      MARIA
2018070600, ST,64,40,40,30,40,1006,200,5,0,10,0,0,0,      MARIA
2018070606, ST,34,165,150,115,145,1005,200,7,0,5,0,0,0,      MARIA
2018070606, ST,50,95,85,60,80,1005,200,7,0,5,0,0,0,      MARIA
2018070606, ST,64,50,45,35,45,1005,200,7,0,5,0,0,0,      MARIA
2018070612, ST,34,185,160,135,155,1004,190,7,0,5,0,0,0,      MARIA
2018070612, ST,50,145,105,85,105,1004,190,7,0,5,0,0,0,      MARIA
2018070612, ST,64,65,50,35,50,1004,190,7,0,5,0,0,0,      MARIA
2018070618, TY,34,180,160,125,150,1004,205,20,0,30,0,0,0,      MARIA
2018070618, TY,50,105,90,70,85,1004,205,20,0,30,0,0,0,      MARIA
2018070618, TY,64,55,50,35,45,1004,205,20,0,30,0,0,0,      MARIA
2018070700, TY,34,170,145,125,150,1004,200,17,0,25,0,0,0,      MARIA
2018070700, TY,50,75,65,60,70,1004,200,17,0,25,0,0,0,      MARIA
2018070700, TY,64,40,35,30,35,1004,200,17,0,25,0,0,0,      MARIA
2018070706, TY,34,180,155,130,160,1003,195,20,0,0,0,0,0,      MARIA
2018070706, TY,50,110,95,75,95,1003,195,20,0,0,0,0,0,      MARIA
2018070706, TY,64,60,50,40,45,1003,195,20,0,0,0,0,0,      MARIA
2018070712, TY,34,180,140,75,155,1003,195,20,0,0,0,0,0,      MARIA
2018070712, TY,50,105,90,70,85,1003,195,20,0,0,0,0,0,      MARIA
2018070712, TY,64,50,40,25,40,1003,195,20,0,0,0,0,0,      MARIA
2018070718, TY,34,180,140,95,170,1003,185,20,0,30,0,0,0,      MARIA
2018070718, TY,50,70,55,40,55,1003,185,20,0,30,0,0,0,      MARIA
2018070718, TY,64,55,45,30,40,1003,185,20,0,30,0,0,0,      MARIA
2018070800, ST,34,190,180,100,180,1003,200,10,0,20,0,0,0,      MARIA
2018070800, ST,50,110,100,70,100,1003,200,10,0,20,0,0,0,      MARIA
2018070800, ST,64,60,55,35,55,1003,200,10,0,20,0,0,0,      MARIA
2018070806, ST,34,195,170,105,185,1002,205,15,0,20,0,0,0,      MARIA
2018070806, ST,50,110,90,65,100,1002,205,15,0,20,0,0,0,      MARIA
2018070806, ST,64,60,50,35,55,1002,205,15,0,20,0,0,0,      MARIA
2018070812, ST,34,205,175,105,165,1003,190,15,0,20,0,0,0,      MARIA
2018070812, ST,50,110,90,75,90,1003,190,15,0,20,0,0,0,      MARIA
2018070812, ST,64,65,50,35,50,1003,190,15,0,20,0,0,0,      MARIA
2018070818, ST,34,205,165,120,170,1003,195,15,0,20,0,0,0,      MARIA
2018070818, ST,50,120,95,70,105,1003,195,15,0,20,0,0,0,      MARIA
2018070818, ST,64,65,50,35,55,1003,195,15,0,20,0,0,0,      MARIA
2018070900, ST,34,200,160,120,170,1004,195,20,0,30,0,0,0,      MARIA
2018070900, ST,50,115,90,65,95,1004,195,20,0,30,0,0,0,      MARIA
2018070900, ST,64,65,50,35,50,1004,195,20,0,30,0,0,0,      MARIA
2018070906, ST,34,195,155,120,175,1002,190,20,0,30,0,0,0,      MARIA
2018070906, ST,50,125,95,70,105,1002,190,20,0,30,0,0,0,      MARIA
2018070906, ST,64,70,50,40,55,1002,190,20,0,30,0,0,0,      MARIA
2018070912, TY,34,195,160,135,180,1002,185,20,0,30,0,0,0,      MARIA
2018070912, TY,50,110,95,85,105,1002,185,20,0,30,0,0,0,      MARIA
2018070912, TY,64,65,50,40,60,1002,185,20,0,30,0,0,0,      MARIA
2018070918, TY,34,195,160,135,195,1002,200,17,0,25,0,0,0,      MARIA
2018070918, TY,50,110,95,85,105,1002,200,17,0,25,0,0,0,      MARIA
2018070918, TY,64,65,50,40,60,1002,200,17,0,25,0,0,0,      MARIA
2018071000, TY,34,180,165,120,180,1002,200,20,0,30,0,0,0,      MARIA
2018071000, TY,50,115,90,65,100,1002,200,20,0,30,0,0,0,      MARIA
2018071000, TY,64,60,50,35,55,1002,200,20,0,30,0,0,0,      MARIA
2018071006, TY,34,190,155,125,170,1003,195,20,0,30,0,0,0,      MARIA
2018071006, TY,50,105,85,65,90,1003,195,20,0,30,0,0,0,      MARIA
2018071006, TY,64,55,45,35,50,1003,195,20,0,30,0,0,0,      MARIA
2018071012, TY,34,190,170,145,170,1003,190,20,0,30,0,0,0,      MARIA
2018071012, TY,50,100,90,80,90,1003,190,20,0,30,0,0,0,      MARIA
2018071012, TY,64,50,35,40,40,1003,190,20,0,30,0,0,0,      MARIA
2018071018, TY,34,205,165,125,180,1002,210,20,125,30,0,0,0,      MARIA
2018071018, TY,50,115,90,65,100,1002,210,20,125,30,0,0,0,      MARIA
2018071018, TY,64,65,50,35,55,1002,210,20,125,30,0,0,0,      MARIA
2018071100, TY,34,200,160,120,170,1001,175,20,0,30,0,0,0,      MARIA
2018071100, TY,50,110,85,60,95,1001,175,20,0,30,0,0,0,      MARIA
2018071100, TY,64,55,45,30,50,1001,175,20,0,30,0,0,0,      MARIA
2018071106, TY,34,150,115,70,95,1001,175,20,0,0,0,0,0,      MARIA
2018071106, TY,50,80,55,30,45,1001,175,20,0,0,0,0,0,      MARIA
2018071112, TS,34,120,100,65,95,1001,175,20,0,0,0,0,0,      MARIA
2018071118, TD,0,0,0,0,0,1002,180,130,0,0,0,0,0,      MARIA
