YYYYMMDDHH,TY,EYE,GUSTS,MRD,VMAX,MSLP,MAXSEAS,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME
2018062912, TS,34,100,105,80,95,1005,175,100,0,0,0,0,0,  PRAPIROON
2018062918, TS,34,105,105,90,95,1005,175,65,0,0,0,0,0,  PRAPIROON
2018063000, TS,34,105,105,90,80,1005,175,55,0,0,0,0,0,  PRAPIROON
2018063006, TS,34,130,125,95,75,1005,175,55,0,0,0,0,0,  PRAPIROON
2018063012, TS,34,110,100,70,85,1004,190,40,0,0,0,0,0,  PRAPIROON
2018063018, TS,34,110,100,70,90,1004,190,45,0,0,0,0,0,  PRAPIROON
2018070100, TS,34,110,100,70,90,1004,190,35,0,0,0,0,0,  PRAPIROON
2018070106, TS,34,115,100,75,95,1004,195,35,0,0,0,0,0,  PRAPIROON
2018070106, TS,50,65,60,50,55,1004,195,35,0,0,0,0,0,  PRAPIROON
2018070112, TS,34,120,110,80,90,1003,220,35,0,0,0,0,0,  PRAPIROON
2018070112, TS,50,70,60,55,55,1003,220,35,0,0,0,0,0,  PRAPIROON
2018070118, TY,34,135,135,85,95,1003,220,20,0,0,0,0,0,  PRAPIROON
2018070118, TY,50,70,70,40,45,1003,220,20,0,0,0,0,0,  PRAPIROON
2018070118, TY,64,25,25,20,20,1003,220,20,0,0,0,0,0,  PRAPIROON
2018070200, TY,34,135,135,85,95,1003,195,5,0,10,0,0,0,  PRAPIROON
2018070200, TY,50,70,70,40,45,1003,195,5,0,10,0,0,0,  PRAPIROON
2018070200, TY,64,25,25,20,20,1003,195,5,0,10,0,0,0,  PRAPIROON
2018070206, TY,34,155,135,120,125,1002,190,5,0,10,0,0,0,  PRAPIROON
2018070206, TY,50,90,85,60,60,1002,190,5,0,10,0,0,0,  PRAPIROON
2018070206, TY,64,45,45,30,25,1002,190,5,0,10,0,0,0,  PRAPIROON
2018070212, TY,34,160,130,110,120,1001,195,5,0,10,0,0,0,  PRAPIROON
2018070212, TY,50,85,75,55,60,1001,195,5,0,10,0,0,0,  PRAPIROON
2018070212, TY,64,40,35,30,30,1001,195,5,0,10,0,0,0,  PRAPIROON
2018070218, TY,34,170,140,120,130,1000,195,5,0,10,0,0,0,  PRAPIROON
2018070218, TY,50,90,95,70,60,1000,195,5,0,10,0,0,0,  PRAPIROON
2018070218, TY,64,45,40,35,30,1000,195,5,0,10,0,0,0,  PRAPIROON
2018070300, TY,34,170,150,120,130,999,195,10,0,0,0,0,0,  PRAPIROON
2018070300, TY,50,65,85,55,40,999,195,10,0,0,0,0,0,  PRAPIROON
2018070300, TY,64,30,30,15,15,999,195,10,0,0,0,0,0,  PRAPIROON
2018070306, TY,34,130,140,115,115,999,195,10,0,0,0,0,0,  PRAPIROON
2018070306, TY,50,80,85,60,60,999,195,10,0,0,0,0,0,  PRAPIROON
2018070306, TY,64,45,45,30,30,999,195,10,0,0,0,0,0,  PRAPIROON
2018070312, TS,34,155,170,115,95,998,200,10,0,0,0,0,0,  PRAPIROON
2018070312, TS,50,70,55,40,45,998,200,10,0,0,0,0,0,  PRAPIROON
2018070318, TS,34,110,175,110,85,998,190,10,0,0,0,0,0,  PRAPIROON
2018070318, TS,50,55,50,55,40,998,190,10,0,0,0,0,0,  PRAPIROON
2018070400, TS,34,60,125,75,50,998,190,10,0,0,0,0,0,  PRAPIROON
2018070406, EX,34,70,135,85,60,998,180,30,0,0,0,0,0,  PRAPIROON
2018070412, EX,34,130,120,70,60,1002,220,50,0,0,0,0,0,  PRAPIROON
2018070418, EX,0,0,0,0,0,1002,220,60,0,0,0,0,0,  PRAPIROON
2018070500, EX,0,0,0,0,0,1002,220,60,0,0,0,0,0,  PRAPIROON
