YYYYMMDDHH,TY,EYE,GUSTS,MRD,VMAX,MSLP,MAXSEAS,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME
2018080312, TS,34,95,120,125,75,1003,200,40,0,0,0,0,0,   SHANSHAN
2018080318, TS,34,100,125,135,85,1002,180,40,0,0,0,0,0,   SHANSHAN
2018080318, TS,50,40,40,0,0,1002,180,40,0,0,0,0,0,   SHANSHAN
2018080400, TS,34,100,160,160,75,1002,180,40,0,0,0,0,0,   SHANSHAN
2018080400, TS,50,55,45,0,0,1002,180,40,0,0,0,0,0,   SHANSHAN
2018080406, TY,34,135,165,165,80,1001,170,30,0,0,0,0,0,   SHANSHAN
2018080406, TY,50,75,90,90,35,1001,170,30,0,0,0,0,0,   SHANSHAN
2018080406, TY,64,35,40,30,20,1001,170,30,0,0,0,0,0,   SHANSHAN
2018080412, TY,34,145,170,135,85,1002,160,30,0,0,0,0,0,   SHANSHAN
2018080412, TY,50,75,100,70,40,1002,160,30,0,0,0,0,0,   SHANSHAN
2018080412, TY,64,40,55,35,20,1002,160,30,0,0,0,0,0,   SHANSHAN
2018080418, TY,34,155,170,140,90,1001,170,30,0,0,0,0,0,   SHANSHAN
2018080418, TY,50,75,95,70,40,1001,170,30,0,0,0,0,0,   SHANSHAN
2018080418, TY,64,40,50,35,20,1001,170,30,0,0,0,0,0,   SHANSHAN
2018080500, TY,34,165,170,135,115,1002,180,30,0,0,0,0,0,   SHANSHAN
2018080500, TY,50,80,85,55,50,1002,180,30,0,0,0,0,0,   SHANSHAN
2018080500, TY,64,35,40,30,20,1002,180,30,0,0,0,0,0,   SHANSHAN
2018080506, TY,34,170,175,135,115,1002,175,30,0,0,0,0,0,   SHANSHAN
2018080506, TY,50,80,100,60,65,1002,175,30,0,0,0,0,0,   SHANSHAN
2018080506, TY,64,40,50,30,20,1002,175,30,0,0,0,0,0,   SHANSHAN
2018080512, TY,34,195,210,150,115,1002,190,40,0,0,0,0,0,   SHANSHAN
2018080512, TY,50,110,120,60,40,1002,190,40,0,0,0,0,0,   SHANSHAN
2018080512, TY,64,40,45,25,20,1002,190,40,0,0,0,0,0,   SHANSHAN
2018080518, TY,34,195,210,145,115,1001,195,20,0,0,0,0,0,   SHANSHAN
2018080518, TY,50,100,110,55,60,1001,195,20,0,0,0,0,0,   SHANSHAN
2018080518, TY,64,40,45,25,30,1001,195,20,0,0,0,0,0,   SHANSHAN
2018080600, TY,34,195,210,140,125,1001,200,20,0,0,0,0,0,   SHANSHAN
2018080600, TY,50,90,100,60,65,1001,200,20,0,0,0,0,0,   SHANSHAN
2018080600, TY,64,45,50,30,35,1001,200,20,0,0,0,0,0,   SHANSHAN
2018080606, TY,34,195,225,130,135,1001,220,40,0,0,0,0,0,   SHANSHAN
2018080606, TY,50,105,110,70,70,1001,220,40,0,0,0,0,0,   SHANSHAN
2018080606, TY,64,55,60,35,35,1001,220,40,0,0,0,0,0,   SHANSHAN
2018080612, TY,34,205,215,120,135,1001,205,35,0,0,0,0,0,   SHANSHAN
2018080612, TY,50,115,120,60,70,1001,205,35,0,0,0,0,0,   SHANSHAN
2018080612, TY,64,60,65,30,35,1001,205,35,0,0,0,0,0,   SHANSHAN
2018080618, TY,34,210,220,135,140,1001,200,35,0,0,0,0,0,   SHANSHAN
2018080618, TY,50,110,125,65,75,1001,200,35,0,0,0,0,0,   SHANSHAN
2018080618, TY,64,45,35,35,30,1001,200,35,0,0,0,0,0,   SHANSHAN
2018080700, TY,34,210,210,135,150,1000,220,35,0,0,0,0,0,   SHANSHAN
2018080700, TY,50,110,100,60,75,1000,220,35,0,0,0,0,0,   SHANSHAN
2018080700, TY,64,35,35,30,30,1000,220,35,0,0,0,0,0,   SHANSHAN
2018080706, TY,34,210,200,135,165,1000,210,17,0,25,0,0,0,   SHANSHAN
2018080706, TY,50,120,110,70,90,1000,210,17,0,25,0,0,0,   SHANSHAN
2018080706, TY,64,65,60,40,50,1000,210,17,0,25,0,0,0,   SHANSHAN
2018080712, TY,34,200,200,130,235,1000,210,15,0,20,0,0,0,   SHANSHAN
2018080712, TY,50,115,115,70,135,1000,210,15,0,20,0,0,0,   SHANSHAN
2018080712, TY,64,60,60,35,75,1000,210,15,0,20,0,0,0,   SHANSHAN
2018080718, TY,34,190,185,120,195,1000,200,5,0,10,0,0,0,   SHANSHAN
2018080718, TY,50,105,105,65,110,1000,200,5,0,10,0,0,0,   SHANSHAN
2018080718, TY,64,55,55,35,60,1000,200,5,0,10,0,0,0,   SHANSHAN
2018080800, TY,34,180,170,125,180,1000,210,12,0,15,0,0,0,   SHANSHAN
2018080800, TY,50,75,70,65,80,1000,210,12,0,15,0,0,0,   SHANSHAN
2018080800, TY,64,40,35,35,40,1000,210,12,0,15,0,0,0,   SHANSHAN
2018080806, TY,34,175,160,130,170,1002,220,12,0,15,0,0,0,   SHANSHAN
2018080806, TY,50,80,75,70,80,1002,220,12,0,15,0,0,0,   SHANSHAN
2018080806, TY,64,50,45,35,45,1002,220,12,0,15,0,0,0,   SHANSHAN
2018080812, TY,34,125,120,110,95,1002,210,12,0,0,0,0,0,   SHANSHAN
2018080812, TY,50,65,60,55,45,1002,210,12,0,0,0,0,0,   SHANSHAN
2018080812, TY,64,35,30,30,25,1002,210,12,0,0,0,0,0,   SHANSHAN
2018080818, TS,34,115,115,95,90,1002,160,12,0,0,0,0,0,   SHANSHAN
2018080818, TS,50,75,70,70,55,1002,160,12,0,0,0,0,0,   SHANSHAN
2018080900, TS,34,85,80,50,50,1002,175,20,0,0,0,0,0,   SHANSHAN
2018080900, TS,50,40,35,25,25,1002,175,20,0,0,0,0,0,   SHANSHAN
2018080906, TS,34,80,80,60,60,1002,220,20,0,0,0,0,0,   SHANSHAN
2018080906, TS,50,50,45,35,35,1002,220,20,0,0,0,0,0,   SHANSHAN
2018080912, TS,34,80,75,50,40,1002,160,20,0,0,0,0,0,   SHANSHAN
2018080918, TS,34,80,95,30,30,1001,150,30,0,0,0,0,0,   SHANSHAN
2018081000, TD,0,0,0,0,0,1001,155,30,0,0,0,0,0,   SHANSHAN
2018081006, EX,34,0,0,0,0,1001,155,30,0,0,0,0,0,   SHANSHAN
