TY,EYE,GUSTS,MRD,MSLP,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME,VMAX,YYYYMMDDHH
TD,0.0,0.0,0.027864437959592307,0.699397392785767,0.0,0.0,0.0,0.0,0.0,0.702880447530716,0.12538997081816539,JAMALA,0.017415273724745193,2013051206
TD,0.0,0.0,0.027901812595063597,0.7003354961360962,0.0,0.0,0.0,0.0,0.0,0.7031256773956026,0.11858270352902028,JAMALA,0.017438632871914748,2013051212
TD,0.0,0.0,0.027888131097106982,0.6999920905373852,0.0,0.0,0.0,0.0,0.0,0.7034781069245236,0.11852455716270467,JAMALA,0.017430081935691864,2013051218
TD,0.0,0.0,0.027888131097106982,0.6999920905373852,0.0,0.0,0.0,0.0,0.0,0.7034781069245236,0.11852455716270467,JAMALA,0.017430081935691864,2013051300
TD,0.0,0.0,0.027901812595063597,0.7003354961360962,0.0,0.0,0.0,0.0,0.0,0.7031256773956026,0.11858270352902028,JAMALA,0.017438632871914748,2013051306
TD,0.0,0.0,0.027901812595063597,0.7003354961360962,0.0,0.0,0.0,0.0,0.0,0.7031256773956026,0.11858270352902028,JAMALA,0.017438632871914748,2013051312
TD,0.0,0.0,0.027901812595063597,0.7003354961360962,0.0,0.0,0.0,0.0,0.0,0.7031256773956026,0.11858270352902028,JAMALA,0.017438632871914748,2013051318
TD,0.0,0.0,0.027901812595063597,0.7003354961360962,0.0,0.0,0.0,0.0,0.0,0.7031256773956026,0.11858270352902028,JAMALA,0.017438632871914748,2013051406
TD,0.0,0.0,0.027901812595063597,0.7003354961360962,0.0,0.0,0.0,0.0,0.0,0.7031256773956026,0.11858270352902028,JAMALA,0.017438632871914748,2013051412
TD,0.0,0.0,0.02795811321902794,0.6989528304756986,0.0,0.0,0.0,0.0,0.0,0.7031465474585528,0.12581150948562572,JAMALA,0.020968584914270956,2013051112
TD,0.0,0.0,0.027905397394699712,0.7004254746069627,0.0,0.0,0.0,0.0,0.0,0.7018207444766977,0.1255742882761487,JAMALA,0.01744087337168732,2013051118
TD,0.0,0.0,0.027898156680044237,0.7002437326691102,0.0,0.0,0.0,0.0,0.0,0.7032198522010321,0.118567165890188,JAMALA,0.017436347925027646,2013051235
