YYYYMMDDHH,TY,EYE,GUSTS,MRD,VMAX,MSLP,MAXSEAS,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME
2018092918, TY,34,135,85,50,115,1009,310,30,0,0,0,0,0,   KONG-REY
2018092918, TY,50,50,40,20,60,1009,310,30,0,0,0,0,0,   KONG-REY
2018093000, TY,34,135,95,95,120,1007,320,30,0,0,0,0,0,   KONG-REY
2018093000, TY,50,70,45,45,60,1007,320,30,0,0,0,0,0,   KONG-REY
2018093006, TY,34,130,105,75,115,1005,215,30,0,0,0,0,0,   KONG-REY
2018093006, TY,50,60,50,35,50,1005,215,30,0,0,0,0,0,   KONG-REY
2018093006, TY,64,35,30,0,0,1005,215,30,0,0,0,0,0,   KONG-REY
2018093012, TY,34,130,110,80,110,1007,225,30,0,0,0,0,0,   KONG-REY
2018093012, TY,50,55,50,45,50,1007,225,30,0,0,0,0,0,   KONG-REY
2018093012, TY,64,30,25,20,25,1007,225,30,0,0,0,0,0,   KONG-REY
2018093018, TY,34,170,125,110,150,1008,320,30,0,0,0,0,0,   KONG-REY
2018093018, TY,50,95,65,60,95,1008,320,30,0,0,0,0,0,   KONG-REY
2018093018, TY,64,40,20,25,50,1008,320,30,0,0,0,0,0,   KONG-REY
2018100100, TY,34,175,140,120,160,1007,290,5,0,10,0,0,0,   KONG-REY
2018100100, TY,50,60,50,40,40,1007,290,5,0,10,0,0,0,   KONG-REY
2018100100, TY,64,45,35,25,30,1007,290,5,0,10,0,0,0,   KONG-REY
2018100106, TY,34,180,155,130,165,1006,240,12,0,15,0,0,0,   KONG-REY
2018100106, TY,50,100,85,65,90,1006,240,12,0,15,0,0,0,   KONG-REY
2018100106, TY,64,50,40,30,45,1006,240,12,0,15,0,0,0,   KONG-REY
2018100112, ST,34,155,165,125,155,1006,220,12,0,15,0,0,0,   KONG-REY
2018100112, ST,50,75,95,55,80,1006,220,12,0,15,0,0,0,   KONG-REY
2018100112, ST,64,40,40,30,40,1006,220,12,0,15,0,0,0,   KONG-REY
2018100118, ST,34,185,165,140,165,1006,220,12,0,15,0,0,0,   KONG-REY
2018100118, ST,50,105,95,80,95,1006,220,12,0,15,0,0,0,   KONG-REY
2018100118, ST,64,55,50,40,50,1006,220,12,0,15,0,0,0,   KONG-REY
2018100200, ST,34,210,195,160,180,1006,215,12,0,15,0,0,0,   KONG-REY
2018100200, ST,50,120,115,75,75,1006,215,12,0,15,0,0,0,   KONG-REY
2018100200, ST,64,65,60,45,35,1006,215,12,0,15,0,0,0,   KONG-REY
2018100206, ST,34,205,190,145,185,1005,215,15,0,20,0,0,0,   KONG-REY
2018100206, ST,50,120,100,80,105,1005,215,15,0,20,0,0,0,   KONG-REY
