YYYYMMDDHH,TY,EYE,GUSTS,MRD,VMAX,MSLP,MAXSEAS,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME
2018112100, TS,34,95,90,80,65,1009,300,45,0,0,0,0,0,     MAN-YI
2018112106, TS,34,100,100,85,70,1006,210,25,0,0,0,0,0,     MAN-YI
2018112106, TS,50,25,25,0,20,1006,210,25,0,0,0,0,0,     MAN-YI
2018112112, TS,34,145,35,40,85,1007,175,25,0,0,0,0,0,     MAN-YI
2018112112, TS,50,30,20,0,25,1007,175,25,0,0,0,0,0,     MAN-YI
2018112118, TY,34,150,95,90,120,1009,320,7,0,5,0,0,0,     MAN-YI
2018112118, TY,50,75,60,45,65,1009,320,7,0,5,0,0,0,     MAN-YI
2018112118, TY,64,35,25,10,35,1009,320,7,0,5,0,0,0,     MAN-YI
2018112200, TY,34,125,80,55,100,1007,300,7,0,5,0,0,0,     MAN-YI
2018112200, TY,50,65,40,20,50,1007,300,7,0,5,0,0,0,     MAN-YI
2018112200, TY,64,35,20,10,25,1007,300,7,0,5,0,0,0,     MAN-YI
2018112206, TY,34,125,85,75,65,1006,200,7,0,0,0,0,0,     MAN-YI
2018112206, TY,50,40,40,40,40,1006,200,7,0,0,0,0,0,     MAN-YI
2018112206, TY,64,25,25,25,25,1006,200,7,0,0,0,0,0,     MAN-YI
2018112212, TY,34,110,95,105,85,1006,200,7,0,0,0,0,0,     MAN-YI
2018112212, TY,50,45,50,70,45,1006,200,7,0,0,0,0,0,     MAN-YI
2018112212, TY,64,20,20,20,20,1006,200,7,0,0,0,0,0,     MAN-YI
2018112218, TY,34,130,100,80,130,1008,220,7,0,0,0,0,0,     MAN-YI
2018112218, TY,50,70,50,35,70,1008,220,7,0,0,0,0,0,     MAN-YI
2018112218, TY,64,35,25,20,35,1008,220,7,0,0,0,0,0,     MAN-YI
2018112300, TY,34,150,110,95,135,1009,220,7,0,0,0,0,0,     MAN-YI
2018112300, TY,50,80,55,45,70,1009,220,7,0,0,0,0,0,     MAN-YI
2018112300, TY,64,45,30,25,35,1009,220,7,0,0,0,0,0,     MAN-YI
2018112306, TY,34,175,125,105,165,1009,200,7,0,0,0,0,0,     MAN-YI
2018112306, TY,50,95,65,55,90,1009,200,7,0,0,0,0,0,     MAN-YI
2018112306, TY,64,50,35,25,50,1009,200,7,0,0,0,0,0,     MAN-YI
2018112312, TY,34,145,115,95,135,1010,200,15,0,0,0,0,0,     MAN-YI
2018112312, TY,50,80,60,45,70,1010,200,15,0,0,0,0,0,     MAN-YI
2018112312, TY,64,40,30,25,40,1010,200,15,0,0,0,0,0,     MAN-YI
2018112318, TY,34,160,145,115,145,1010,210,15,0,0,0,0,0,     MAN-YI
2018112318, TY,50,80,70,55,70,1010,210,15,0,0,0,0,0,     MAN-YI
2018112318, TY,64,45,35,25,40,1010,210,15,0,0,0,0,0,     MAN-YI
2018112400, TY,34,165,140,120,150,1008,175,20,0,0,0,0,0,     MAN-YI
2018112400, TY,50,85,70,45,80,1008,175,20,0,0,0,0,0,     MAN-YI
2018112400, TY,64,45,35,25,45,1008,175,20,0,0,0,0,0,     MAN-YI
2018112406, TY,34,150,125,100,155,1009,180,20,0,0,0,0,0,     MAN-YI
2018112406, TY,50,60,50,55,65,1009,180,20,0,0,0,0,0,     MAN-YI
2018112406, TY,64,35,30,35,40,1009,180,20,0,0,0,0,0,     MAN-YI
2018112412, TY,34,110,70,50,120,1010,170,20,0,0,0,0,0,     MAN-YI
2018112412, TY,50,50,40,40,45,1010,170,20,0,0,0,0,0,     MAN-YI
2018112412, TY,64,35,30,25,35,1010,170,20,0,0,0,0,0,     MAN-YI
2018112415, TY,34,100,90,75,115,1010,170,20,0,0,0,0,0,     MAN-YI
2018112415, TY,50,50,45,35,60,1010,170,20,0,0,0,0,0,     MAN-YI
2018112415, TY,64,25,20,15,30,1010,170,20,0,0,0,0,0,     MAN-YI
2018112418, TY,34,100,95,90,105,1010,175,20,0,0,0,0,0,     MAN-YI
2018112418, TY,50,50,45,45,55,1010,175,20,0,0,0,0,0,     MAN-YI
2018112418, TY,64,25,25,20,25,1010,175,20,0,0,0,0,0,     MAN-YI
2018112500, TY,34,95,70,60,100,1010,200,15,0,20,0,0,0,     MAN-YI
2018112500, TY,50,40,25,20,50,1010,200,15,0,20,0,0,0,     MAN-YI
2018112500, TY,64,25,20,15,30,1010,200,15,0,20,0,0,0,     MAN-YI
2018112506, TY,34,95,70,65,100,1009,165,20,0,0,0,0,0,     MAN-YI
2018112506, TY,50,45,35,30,50,1009,165,20,0,0,0,0,0,     MAN-YI
2018112506, TY,64,30,25,20,30,1009,165,20,0,0,0,0,0,     MAN-YI
2018112512, TY,34,100,75,70,90,1010,145,25,0,0,0,0,0,     MAN-YI
2018112512, TY,50,45,35,35,35,1010,145,25,0,0,0,0,0,     MAN-YI
2018112512, TY,64,30,20,20,25,1010,145,25,0,0,0,0,0,     MAN-YI
2018112518, TY,34,90,75,60,90,1010,150,30,0,0,0,0,0,     MAN-YI
2018112518, TY,50,45,35,25,45,1010,150,30,0,0,0,0,0,     MAN-YI
2018112600, TS,34,90,75,60,80,1012,145,30,0,0,0,0,0,     MAN-YI
2018112606, TS,34,85,70,45,75,1011,135,30,0,0,0,0,0,     MAN-YI
2018112612, TD,0,0,0,0,0,1013,130,35,0,0,0,0,0,     MAN-YI
2018112618, TD,0,0,0,0,0,1013,155,35,0,0,0,0,0,     MAN-YI
2018112700, TD,0,0,0,0,0,1015,170,35,0,0,0,0,0,     MAN-YI
2018112706, TD,0,0,0,0,0,1013,170,55,0,0,0,0,0,     MAN-YI
2018112712, TD,0,0,0,0,0,1013,170,55,0,0,0,0,0,     MAN-YI
2018112718, EX,0,0,0,0,0,1014,175,55,0,0,0,0,0,     MAN-YI
2018112800, EX,0,0,0,0,0,1015,195,75,0,0,0,0,0,     MAN-YI
