YYYYMMDDHH,TY,EYE,GUSTS,MRD,VMAX,MSLP,MAXSEAS,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME
2018032518, TD,0,0,0,0,0,1006,220,30,0,0,0,0,0,    JELAWAT
2018032600, TD,0,0,0,0,0,1007,230,30,0,0,0,0,0,    JELAWAT
2018032606, TD,0,0,0,0,0,1007,230,30,0,0,0,0,0,    JELAWAT
2018032612, TD,0,0,0,0,0,1007,230,30,0,0,0,0,0,    JELAWAT
2018032618, TD,0,0,0,0,0,1004,200,40,0,0,0,0,0,    JELAWAT
2018032700, TD,0,0,0,0,0,1005,220,40,0,0,0,0,0,    JELAWAT
2018032706, TD,0,0,0,0,0,1005,220,40,0,0,0,0,0,    JELAWAT
2018032712, TD,0,0,0,0,0,1005,220,40,0,0,0,0,0,    JELAWAT
2018032718, TS,34,145,110,65,110,1005,225,40,0,0,0,0,0,    JELAWAT
2018032800, TS,34,120,110,0,0,1006,225,50,0,0,0,0,0,    JELAWAT
2018032806, TS,34,130,120,100,95,1005,235,35,0,0,0,0,0,    JELAWAT
2018032812, TS,34,110,110,55,60,1006,230,25,0,0,0,0,0,    JELAWAT
2018032818, TS,34,130,130,70,100,1006,260,25,0,0,0,0,0,    JELAWAT
2018032818, TS,50,65,75,30,50,1006,260,25,0,0,0,0,0,    JELAWAT
2018032900, TS,34,130,125,65,90,1007,300,30,0,0,0,0,0,    JELAWAT
2018032900, TS,50,65,65,25,40,1007,300,30,0,0,0,0,0,    JELAWAT
2018032906, TS,34,125,105,0,130,1007,300,30,0,0,0,0,0,    JELAWAT
2018032906, TS,50,50,0,0,35,1007,300,30,0,0,0,0,0,    JELAWAT
2018032912, TS,34,125,100,105,100,1006,325,30,0,0,0,0,0,    JELAWAT
2018032912, TS,50,45,35,30,30,1006,325,30,0,0,0,0,0,    JELAWAT
2018032918, TY,34,110,85,90,90,1003,230,15,0,0,0,0,0,    JELAWAT
2018032918, TY,50,45,40,40,35,1003,230,15,0,0,0,0,0,    JELAWAT
2018032918, TY,64,20,15,15,10,1003,230,15,0,0,0,0,0,    JELAWAT
2018033000, TY,34,120,115,90,75,1003,180,15,0,0,0,0,0,    JELAWAT
2018033000, TY,50,65,75,60,45,1003,180,15,0,0,0,0,0,    JELAWAT
2018033000, TY,64,35,40,25,15,1003,180,15,0,0,0,0,0,    JELAWAT
2018033006, TY,34,140,130,110,100,1004,195,5,0,10,0,0,0,    JELAWAT
2018033006, TY,50,65,60,55,50,1004,195,5,0,10,0,0,0,    JELAWAT
2018033006, TY,64,35,35,35,30,1004,195,5,0,10,0,0,0,    JELAWAT
2018033012, ST,34,150,140,135,110,1002,190,7,0,5,0,0,0,    JELAWAT
2018033012, ST,50,70,65,60,55,1002,190,7,0,5,0,0,0,    JELAWAT
2018033012, ST,64,40,40,35,35,1002,190,7,0,5,0,0,0,    JELAWAT
2018033018, TY,34,130,140,135,105,1002,190,10,0,0,0,0,0,    JELAWAT
2018033018, TY,50,70,80,75,40,1002,190,10,0,0,0,0,0,    JELAWAT
2018033018, TY,64,40,45,40,20,1002,190,10,0,0,0,0,0,    JELAWAT
2018033100, TY,34,140,140,85,120,1002,175,15,0,0,0,0,0,    JELAWAT
2018033100, TY,50,35,45,40,30,1002,175,15,0,0,0,0,0,    JELAWAT
2018033100, TY,64,20,25,20,15,1002,175,15,0,0,0,0,0,    JELAWAT
2018033106, TY,34,160,135,0,130,1003,195,20,0,0,0,0,0,    JELAWAT
2018033106, TY,50,75,70,0,60,1003,195,20,0,0,0,0,0,    JELAWAT
2018033106, TY,64,40,40,0,35,1003,195,20,0,0,0,0,0,    JELAWAT
2018033112, TS,34,160,130,125,135,1001,185,25,0,0,0,0,0,    JELAWAT
2018033112, TS,50,85,75,70,80,1001,185,25,0,0,0,0,0,    JELAWAT
2018033118, TS,34,150,115,105,135,1002,220,35,0,0,0,0,0,    JELAWAT
2018033118, TS,50,50,50,50,60,1002,220,35,0,0,0,0,0,    JELAWAT
2018040100, TS,34,165,110,110,135,1004,210,35,50,0,0,0,0,    JELAWAT
2018040106, SS,34,175,0,0,135,1002,210,35,0,0,0,0,0,    JELAWAT
2018040112, SS,34,195,0,0,140,1003,180,85,0,0,0,0,0,    JELAWAT
2018040118, SS,34,165,85,110,170,1004,200,85,0,0,0,0,0,    JELAWAT
2018040200, SS,34,175,70,50,155,1002,170,85,0,0,0,0,0,    JELAWAT
2018040206, SS,34,190,70,50,115,1002,170,85,0,0,0,0,0,    JELAWAT
2018040212, SS,34,100,95,85,105,1002,170,85,0,0,0,0,0,    JELAWAT
