YYYYMMDDHH,TY,EYE,GUSTS,MRD,VMAX,MSLP,MAXSEAS,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME
2017072112, TS,34,125,165,60,100,1010,150,40,0,0,0.0,0.0,0.0,       NORU
2017072118, TS,34,125,165,60,100,1010,170,60,0,0,0.0,0.0,0.0,       NORU
2017072200, TS,34,125,165,80,100,1010,170,60,0,0,0.0,0.0,0.0,       NORU
2017072206, TS,34,125,165,80,100,1010,185,60,0,0,0.0,0.0,0.0,       NORU
2017072212, TS,34,135,115,65,85,1007,190,40,0,0,0.0,0.0,0.0,       NORU
2017072218, TS,34,125,105,60,85,1007,190,35,0,0,0.0,0.0,0.0,       NORU
2017072300, TS,34,105,50,60,85,1007,190,30,0,0,0.0,0.0,0.0,       NORU
2017072300, TS,50,30,30,30,30,1007,190,30,0,0,0.0,0.0,0.0,       NORU
2017072306, TY,34,115,85,60,85,1007,190,30,0,0,0.0,0.0,0.0,       NORU
2017072306, TY,50,30,30,30,30,1007,190,30,0,0,0.0,0.0,0.0,       NORU
2017072306, TY,64,20,20,20,20,1007,190,30,0,0,0.0,0.0,0.0,       NORU
2017072312, TY,34,90,90,75,90,1007,200,10,0,10,0.0,0.0,0.0,       NORU
2017072312, TY,50,30,30,30,30,1007,200,10,0,10,0.0,0.0,0.0,       NORU
2017072312, TY,64,15,15,15,15,1007,200,10,0,10,0.0,0.0,0.0,       NORU
2017072318, TY,34,90,90,75,90,1006,200,7,0,5,0.0,0.0,0.0,       NORU
2017072318, TY,50,30,30,30,30,1006,200,7,0,5,0.0,0.0,0.0,       NORU
2017072318, TY,64,15,15,15,15,1006,200,7,0,5,0.0,0.0,0.0,       NORU
2017072400, TY,34,90,90,75,90,1005,190,10,0,10,0.0,0.0,0.0,       NORU
2017072400, TY,50,30,30,30,30,1005,190,10,0,10,0.0,0.0,0.0,       NORU
2017072400, TY,64,15,15,15,15,1005,190,10,0,10,0.0,0.0,0.0,       NORU
2017072406, TY,34,95,95,95,95,1005,200,10,0,10,0.0,0.0,0.0,       NORU
2017072406, TY,50,30,30,30,30,1005,200,10,0,10,0.0,0.0,0.0,       NORU
2017072406, TY,64,15,15,15,15,1005,200,10,0,10,0.0,0.0,0.0,       NORU
2017072412, TY,34,95,95,95,95,1005,200,10,0,10,0.0,0.0,0.0,       NORU
2017072412, TY,50,30,30,30,30,1005,200,10,0,10,0.0,0.0,0.0,       NORU
2017072412, TY,64,15,15,15,15,1005,200,10,0,10,0.0,0.0,0.0,       NORU
2017072418, TY,34,95,95,95,95,1005,200,10,0,0,0.0,0.0,0.0,       NORU
