YYYYMMDDHH,TY,EYE,GUSTS,MRD,VMAX,MSLP,MAXSEAS,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME
2018090800, TS,34,90,75,75,90,1009,190,30,0,0,0,0,0,   MANGKHUT
2018090806, TS,34,85,75,80,110,1008,250,30,0,0,0,0,0,   MANGKHUT
2018090812, TS,34,85,45,45,95,1008,150,30,0,0,0,0,0,   MANGKHUT
2018090818, TS,34,100,75,75,100,1008,170,25,0,0,0,0,0,   MANGKHUT
2018090818, TS,50,40,35,35,40,1008,170,25,0,0,0,0,0,   MANGKHUT
2018090900, TY,34,115,65,65,115,1008,170,25,0,0,0,0,0,   MANGKHUT
2018090900, TY,50,60,45,45,60,1008,170,25,0,0,0,0,0,   MANGKHUT
2018090900, TY,64,25,25,25,25,1008,170,25,0,0,0,0,0,   MANGKHUT
2018090906, TY,34,110,60,70,110,1007,170,30,0,0,0,0,0,   MANGKHUT
2018090906, TY,50,55,25,30,55,1007,170,30,0,0,0,0,0,   MANGKHUT
2018090906, TY,64,30,10,15,30,1007,170,30,0,0,0,0,0,   MANGKHUT
2018090912, TY,34,120,65,65,110,1009,185,30,0,0,0,0,0,   MANGKHUT
2018090912, TY,50,60,25,25,55,1009,185,30,0,0,0,0,0,   MANGKHUT
2018090912, TY,64,30,15,15,30,1009,185,30,0,0,0,0,0,   MANGKHUT
2018090918, TY,34,120,85,85,120,1009,185,20,0,0,0,0,0,   MANGKHUT
2018090918, TY,50,60,45,45,60,1009,185,20,0,0,0,0,0,   MANGKHUT
2018090918, TY,64,30,25,25,30,1009,185,20,0,0,0,0,0,   MANGKHUT
2018091000, TY,34,125,85,85,125,1009,185,20,0,0,0,0,0,   MANGKHUT
2018091000, TY,50,65,40,40,65,1009,185,20,0,0,0,0,0,   MANGKHUT
2018091000, TY,64,35,20,20,35,1009,185,20,0,0,0,0,0,   MANGKHUT
2018091006, TY,34,155,90,105,140,1008,195,20,0,0,0,0,0,   MANGKHUT
2018091006, TY,50,85,45,55,75,1008,195,20,0,0,0,0,0,   MANGKHUT
2018091006, TY,64,45,20,25,40,1008,195,20,0,0,0,0,0,   MANGKHUT
2018091012, TY,34,155,100,110,155,1006,210,5,0,10,0,0,0,   MANGKHUT
2018091012, TY,50,85,50,55,85,1006,210,5,0,10,0,0,0,   MANGKHUT
2018091012, TY,64,45,25,30,45,1006,210,5,0,10,0,0,0,   MANGKHUT
2018091018, TY,34,180,130,125,175,1006,200,5,0,10,0,0,0,   MANGKHUT
2018091018, TY,50,110,75,75,100,1006,200,5,0,10,0,0,0,   MANGKHUT
2018091018, TY,64,50,40,35,50,1006,200,5,0,10,0,0,0,   MANGKHUT
2018091100, TY,34,185,130,130,175,1006,200,5,0,10,0,0,0,   MANGKHUT
2018091100, TY,50,85,60,60,85,1006,200,5,0,10,0,0,0,   MANGKHUT
2018091100, TY,64,45,30,35,45,1006,200,5,0,10,0,0,0,   MANGKHUT
2018091106, ST,34,190,135,135,180,1006,190,15,0,20,0,0,0,   MANGKHUT
2018091106, ST,50,105,80,70,95,1006,190,15,0,20,0,0,0,   MANGKHUT
2018091106, ST,64,55,40,40,50,1006,190,15,0,20,0,0,0,   MANGKHUT
2018091112, ST,34,195,145,140,185,1004,190,17,0,25,0,0,0,   MANGKHUT
2018091112, ST,50,100,70,75,105,1004,190,17,0,25,0,0,0,   MANGKHUT
2018091112, ST,64,60,45,45,55,1004,190,17,0,25,0,0,0,   MANGKHUT
2018091118, ST,34,200,150,140,185,1004,215,17,0,25,0,0,0,   MANGKHUT
2018091118, ST,50,105,85,85,100,1004,215,17,0,25,0,0,0,   MANGKHUT
2018091118, ST,64,60,55,50,60,1004,215,17,0,25,0,0,0,   MANGKHUT
2018091200, ST,34,200,155,135,185,1004,205,17,0,25,0,0,0,   MANGKHUT
2018091200, ST,50,115,85,75,105,1004,205,17,0,25,0,0,0,   MANGKHUT
2018091200, ST,64,65,45,40,60,1004,205,17,0,25,0,0,0,   MANGKHUT
2018091206, ST,34,240,165,160,230,1004,190,20,0,30,0,0,0,   MANGKHUT
2018091206, ST,50,140,95,90,135,1004,190,20,0,30,0,0,0,   MANGKHUT
2018091206, ST,64,75,50,50,75,1004,190,20,0,30,0,0,0,   MANGKHUT
2018091212, ST,34,240,175,175,240,1004,200,25,0,30,0,0,0,   MANGKHUT
2018091212, ST,50,100,60,60,100,1004,200,25,0,30,0,0,0,   MANGKHUT
2018091212, ST,64,50,50,50,50,1004,200,25,0,30,0,0,0,   MANGKHUT
2018091218, ST,34,215,135,155,175,1002,220,17,0,25,0,0,0,   MANGKHUT
2018091218, ST,50,95,55,55,105,1002,220,17,0,25,0,0,0,   MANGKHUT
2018091218, ST,64,45,40,40,45,1002,220,17,0,25,0,0,0,   MANGKHUT
2018091300, ST,34,240,165,160,200,1002,220,17,0,25,0,0,0,   MANGKHUT
2018091300, ST,50,95,85,90,90,1002,220,17,0,25,0,0,0,   MANGKHUT
2018091300, ST,64,65,50,50,65,1002,220,17,0,25,0,0,0,   MANGKHUT
2018091306, ST,34,240,225,190,220,1002,220,17,0,25,0,0,0,   MANGKHUT
2018091306, ST,50,140,130,110,130,1002,220,17,0,25,0,0,0,   MANGKHUT
2018091306, ST,64,75,70,60,70,1002,220,17,0,25,0,0,0,   MANGKHUT
2018091312, ST,34,200,200,155,170,1003,230,17,0,25,0,0,0,   MANGKHUT
2018091312, ST,50,110,110,75,65,1003,230,17,0,25,0,0,0,   MANGKHUT
2018091312, ST,64,50,50,50,50,1003,230,17,0,25,0,0,0,   MANGKHUT
2018091318, ST,34,200,200,155,170,1003,230,22,0,35,0,0,0,   MANGKHUT
2018091318, ST,50,110,110,105,135,1003,230,22,0,35,0,0,0,   MANGKHUT
2018091318, ST,64,50,50,50,50,1003,230,22,0,35,0,0,0,   MANGKHUT
2018091400, ST,34,250,190,200,250,1002,230,22,0,35,0,0,0,   MANGKHUT
2018091400, ST,50,130,125,100,135,1002,230,22,0,35,0,0,0,   MANGKHUT
2018091400, ST,64,85,70,60,75,1002,230,22,0,35,0,0,0,   MANGKHUT
2018091406, ST,34,265,225,200,260,1000,205,22,0,35,0,0,0,   MANGKHUT
2018091406, ST,50,155,135,125,135,1000,205,22,0,35,0,0,0,   MANGKHUT
2018091406, ST,64,95,80,70,85,1000,205,22,0,35,0,0,0,   MANGKHUT
2018091412, ST,34,265,210,240,295,1001,215,22,0,35,0,0,0,   MANGKHUT
2018091412, ST,50,165,145,130,170,1001,215,22,0,35,0,0,0,   MANGKHUT
2018091412, ST,64,100,95,75,105,1001,215,22,0,35,0,0,0,   MANGKHUT
2018091418, ST,34,285,255,230,285,1001,225,12,0,15,0,0,0,   MANGKHUT
2018091418, ST,50,170,150,125,165,1001,225,12,0,15,0,0,0,   MANGKHUT
2018091418, ST,64,100,90,75,95,1001,225,12,0,15,0,0,0,   MANGKHUT
2018091500, TY,34,300,290,230,270,1001,225,12,0,0,0,0,0,   MANGKHUT
2018091500, TY,50,160,140,115,145,1001,225,12,0,0,0,0,0,   MANGKHUT
2018091500, TY,64,80,75,55,75,1001,225,12,0,0,0,0,0,   MANGKHUT
2018091506, TY,34,280,240,225,260,1001,225,20,0,0,0,0,0,   MANGKHUT
2018091506, TY,50,155,125,105,150,1001,225,20,0,0,0,0,0,   MANGKHUT
2018091506, TY,64,80,65,55,75,1001,225,20,0,0,0,0,0,   MANGKHUT
2018091512, TY,34,285,235,195,260,999,225,20,0,0,0,0,0,   MANGKHUT
2018091512, TY,50,135,130,110,150,999,225,20,0,0,0,0,0,   MANGKHUT
2018091512, TY,64,75,70,60,80,999,225,20,0,0,0,0,0,   MANGKHUT
2018091518, TY,34,295,245,190,225,999,225,20,0,0,0,0,0,   MANGKHUT
2018091518, TY,50,130,105,90,130,999,225,20,0,0,0,0,0,   MANGKHUT
2018091518, TY,64,70,60,50,70,999,225,20,0,0,0,0,0,   MANGKHUT
2018091600, TY,34,300,240,190,225,998,200,20,0,0,0,0,0,   MANGKHUT
2018091600, TY,50,125,100,90,125,998,200,20,0,0,0,0,0,   MANGKHUT
2018091600, TY,64,60,55,50,65,998,200,20,0,0,0,0,0,   MANGKHUT
2018091606, TY,34,275,200,165,215,998,195,15,0,20,0,0,0,   MANGKHUT
2018091606, TY,50,160,110,90,120,998,195,15,0,20,0,0,0,   MANGKHUT
2018091606, TY,64,85,60,50,65,998,195,15,0,20,0,0,0,   MANGKHUT
2018091612, TY,34,245,200,155,185,997,190,20,0,0,0,0,0,   MANGKHUT
2018091612, TY,50,90,85,90,65,997,190,20,0,0,0,0,0,   MANGKHUT
2018091612, TY,64,20,25,40,30,997,190,20,0,0,0,0,0,   MANGKHUT
2018091618, TS,34,230,200,150,160,1000,200,20,0,0,0,0,0,   MANGKHUT
2018091618, TS,50,105,90,70,85,1000,200,20,0,0,0,0,0,   MANGKHUT
2018091700, TS,34,190,200,120,155,1001,160,20,0,0,0,0,0,   MANGKHUT
2018091706, TD,0,0,0,0,0,1001,160,20,0,0,0,0,0,   MANGKHUT
2018091712, DB,0,0,0,0,0,1001,160,20,0,0,0,0,0,   MANGKHUT
