YYYYMMDDHH,TY,EYE,GUSTS,MRD,VMAX,MSLP,MAXSEAS,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME
2018072506, TS,34,75,75,55,40,1003,180,35,0,0,0,0,0,   JONGDARI
2018072512, TS,34,70,75,70,65,1003,180,30,0,0,0,0,0,   JONGDARI
2018072518, TS,34,75,85,75,55,1003,210,30,0,0,0,0,0,   JONGDARI
2018072518, TS,50,30,30,30,30,1003,210,30,0,0,0,0,0,   JONGDARI
2018072600, TS,34,80,90,80,55,1003,210,30,0,0,0,0,0,   JONGDARI
2018072600, TS,50,25,30,20,20,1003,210,30,0,0,0,0,0,   JONGDARI
2018072606, TS,34,100,115,100,80,1002,205,30,0,0,0,0,0,   JONGDARI
2018072606, TS,50,50,60,50,35,1002,205,30,0,0,0,0,0,   JONGDARI
2018072612, TY,34,105,115,100,85,1000,195,30,75,0,0,0,0,   JONGDARI
2018072612, TY,50,45,50,50,20,1000,195,30,75,0,0,0,0,   JONGDARI
2018072618, TY,34,155,165,120,90,1000,195,30,0,0,0,0,0,   JONGDARI
2018072618, TY,50,85,90,60,35,1000,195,30,0,0,0,0,0,   JONGDARI
2018072618, TY,64,45,50,30,15,1000,195,30,0,0,0,0,0,   JONGDARI
2018072700, TY,34,160,180,125,95,1000,195,25,0,0,0,0,0,   JONGDARI
2018072700, TY,50,55,50,40,30,1000,195,25,0,0,0,0,0,   JONGDARI
2018072700, TY,64,20,25,20,15,1000,195,25,0,0,0,0,0,   JONGDARI
2018072706, TY,34,180,200,150,120,998,195,25,0,0,0,0,0,   JONGDARI
2018072706, TY,50,65,60,50,45,998,195,25,0,0,0,0,0,   JONGDARI
2018072706, TY,64,30,30,30,25,998,195,25,0,0,0,0,0,   JONGDARI
2018072712, TY,34,180,205,145,115,998,195,12,0,15,0,0,0,   JONGDARI
2018072712, TY,50,80,80,70,55,998,195,12,0,15,0,0,0,   JONGDARI
2018072712, TY,64,40,35,35,25,998,195,12,0,15,0,0,0,   JONGDARI
2018072718, TY,34,195,210,150,130,998,190,7,0,5,0,0,0,   JONGDARI
2018072718, TY,50,105,120,65,65,998,190,7,0,5,0,0,0,   JONGDARI
2018072718, TY,64,45,45,40,40,998,190,7,0,5,0,0,0,   JONGDARI
2018072800, TY,34,185,180,95,145,998,180,7,0,5,0,0,0,   JONGDARI
2018072800, TY,50,105,100,45,80,998,180,7,0,5,0,0,0,   JONGDARI
2018072800, TY,64,55,40,25,40,998,180,7,0,5,0,0,0,   JONGDARI
2018072806, TY,34,175,100,90,140,998,180,5,0,10,0,0,0,   JONGDARI
2018072806, TY,50,60,55,50,50,998,180,5,0,10,0,0,0,   JONGDARI
2018072806, TY,64,30,25,25,25,998,180,5,0,10,0,0,0,   JONGDARI
2018072812, TY,34,175,100,90,140,998,180,15,0,0,0,0,0,   JONGDARI
2018072812, TY,50,60,55,50,50,998,180,15,0,0,0,0,0,   JONGDARI
2018072812, TY,64,30,25,25,25,998,180,15,0,0,0,0,0,   JONGDARI
2018072818, TS,34,130,105,90,105,998,200,15,0,0,0,0,0,   JONGDARI
2018072818, TS,50,50,30,35,40,998,200,15,0,0,0,0,0,   JONGDARI
2018072900, TS,34,75,55,65,90,1004,180,15,0,0,0,0,0,   JONGDARI
2018072906, TS,34,70,55,60,75,1000,170,25,0,0,0,0,0,   JONGDARI
2018072912, TD,0,0,0,0,0,1000,170,30,0,0,0,0,0,   JONGDARI
2018072918, TD,0,0,0,0,0,1000,170,30,0,0,0,0,0,   JONGDARI
2018073000, TD,0,0,0,0,0,1001,170,30,0,0,0,0,0,   JONGDARI
2018073006, TD,0,0,0,0,0,1000,160,30,0,0,0,0,0,   JONGDARI
2018073012, TD,0,0,0,0,0,1000,160,30,40,0,0,0,0,   JONGDARI
2018073018, TD,0,0,0,0,0,1001,175,40,0,0,0,0,0,   JONGDARI
2018073100, TS,34,60,65,45,40,1001,165,40,0,0,0,0,0,   JONGDARI
2018073106, TS,34,60,55,40,40,1001,175,40,0,0,0,0,0,   JONGDARI
2018073112, TS,34,55,50,45,40,1001,180,60,0,0,0,0,0,   JONGDARI
2018073118, TS,34,55,50,50,35,1000,180,60,0,0,0,0,0,   JONGDARI
2018080100, TD,0,0,0,0,0,1000,180,60,0,0,0,0,0,   JONGDARI
2018080106, TD,0,0,0,0,0,1002,180,30,0,0,0,0,0,   JONGDARI
2018080112, TD,0,0,0,0,0,1003,180,30,0,0,0,0,0,   JONGDARI
2018080118, TD,0,0,0,0,0,1003,180,30,0,0,0,0,0,   JONGDARI
2018080200, TD,0,0,0,0,0,1003,180,30,0,0,0,0,0,   JONGDARI
2018080206, TS,34,185,0,0,105,1001,180,30,0,0,0,0,0,   JONGDARI
2018080212, TD,0,0,0,0,0,1001,180,30,0,0,0,0,0,   JONGDARI
2018080218, TD,0,0,0,0,0,1001,170,30,0,0,0,0,0,   JONGDARI
2018080300, TD,0,0,0,0,0,1000,160,30,0,0,0,0,0,   JONGDARI
2018080306, TD,0,0,0,0,0,1000,160,30,0,0,0,0,0,   JONGDARI
2018080312, DB,0,0,0,0,0,1000,160,35,0,0,0,0,0,   JONGDARI
2018080318, DB,0,0,0,0,0,1000,160,35,0,0,0,0,0,   JONGDARI
2018080400, DB,0,0,0,0,0,1000,160,35,0,0,0,0,0,   JONGDARI
2018080406, DB,0,0,0,0,0,1000,160,35,0,0,0,0,0,   JONGDARI
