YYYYMMDDHH,MSLP,VMAX,TY,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,MRD,GUSTS,EYE,STORMNAME
2015082018,937,115,TY,64,60,60,60,60,1002,250,30,0,50,3
2015082100,941,110,TY,64,60,60,60,60,1002,250,27,0,45,3
2015082106,944,105,TY,64,60,65,65,60,1002,275,27,0,45,3
2015081618,970,70,TY,50,55,45,45,55,1005,220,20,0,0,3
2015082212,963,80,TY,64,45,35,40,40,1000,330,25,0,40,3
2015081700,963,80,TY,64,35,35,35,35,1005,220,22,0,35,3
2015081706,952,95,TY,64,35,35,35,35,1004,215,17,0,25,3
2015082112,956,90,TY,64,40,35,40,35,1000,250,27,0,45,3
2015082118,963,80,TY,64,40,35,40,35,1000,250,12,0,15,3
2015082200,963,80,TY,64,40,35,40,35,1000,240,20,0,30,3
2015082206,963,80,TY,64,40,35,40,35,1000,240,25,0,40,3
2015081612,974,65,TY,50,25,20,25,30,1006,200,25,0,0,3
2015081712,944,105,TY,64,30,30,25,30,1006,215,15,0,20,3
2015081718,941,110,TY,64,30,30,25,30,1004,215,10,0,10,3
2015081800,937,115,TY,64,30,30,25,30,1004,215,10,0,10,3
2015081806,933,120,TY,64,30,30,25,30,1004,215,15,0,20,3
2015081812,933,120,TY,64,30,30,25,30,1004,215,12,0,15,3
2015081818,929,125,TY,64,30,30,25,30,1004,215,15,0,20,3
2015082218,963,80,TY,64,60,60,30,30,1000,320,25,0,40,3
2015082300,963,80,TY,64,60,60,30,30,1000,320,25,0,40,3
2015082306,963,80,TY,64,60,60,30,30,1000,320,17,0,25,3
2015082312,967,75,TY,64,60,60,30,30,1000,310,15,0,20,3
2015082318,970,70,TY,64,50,50,30,30,1000,280,15,0,20,3
2015081618,970,70,TY,64,25,25,25,25,1005,220,20,0,0,3
2015082400,974,65,TY,50,140,120,75,0,1000,280,15,0,20,3
2012082800,982,55,TS,34,170,170,150,150,1000,240,35,0,0,4
2012082806,982,55,TS,34,170,170,150,150,1000,240,40,0,0,4
2012082812,989,45,TS,34,90,110,110,90,1000,245,45,0,0,4
2012082800,982,55,TS,50,80,80,80,80,1000,240,35,0,0,4
2012082806,982,55,TS,50,80,80,80,80,1000,240,40,0,0,4
2012082100,985,50,TS,34,40,40,45,45,1005,130,20,0,0,4
2012082012,993,40,TS,34,40,40,40,40,1005,150,40,0,0,4
2012082018,989,45,TS,34,40,40,40,40,1005,60,20,0,0,4
2012082006,996,35,TS,0,0,0,0,0,1005,150,40,0,0,4
2012082106,978,60,TS,34,50,50,50,50,1005,170,25,0,0,4
2012082106,978,60,TS,50,25,25,25,25,1005,170,25,0,0,4
2012082518,933,120,TY,34,235,215,190,205,999,210,15,0,20,4
2012082600,937,115,TY,34,230,215,185,200,1001,240,15,0,20,4
2012082606,941,110,TY,34,230,215,185,200,1001,240,15,0,10,4
2012082612,944,105,TY,34,215,215,185,185,999,240,15,0,10,4
2012082618,948,100,TY,34,220,220,185,185,999,240,15,0,10,4
2012082418,929,125,TY,34,190,175,160,180,995,200,20,0,10,4
2012082500,929,125,TY,34,190,175,160,180,995,210,20,150,15,4
2012082506,933,120,TY,34,190,190,180,180,995,210,30,0,20,4
2012082512,933,120,TY,34,190,190,180,180,995,210,30,0,20,4
2012082700,956,90,TY,34,215,215,180,180,999,230,25,0,0,4
2012082318,944,105,TY,34,180,180,160,160,1000,200,20,0,0,4
2012082400,944,105,TY,34,180,180,160,160,1000,190,20,0,0,4
2012082406,941,110,TY,34,180,180,160,160,995,190,20,0,20,4
2012082412,933,120,TY,34,180,180,160,160,995,190,20,0,20,4
2012082306,948,100,TY,34,140,150,140,150,1000,220,15,0,0,4
2012082312,948,100,TY,34,140,150,140,150,1000,220,15,0,0,4
2012082706,967,75,TY,34,170,170,150,150,999,230,25,0,0,4
2012082712,970,70,TY,34,170,170,150,150,999,230,25,0,0,4
2012082718,970,70,TY,34,170,170,150,150,1000,240,25,0,0,4
2012082206,963,80,TY,34,115,115,110,135,1005,220,20,0,0,4
2012082212,956,90,TY,34,115,115,110,135,1005,220,20,0,0,4
2012082218,956,90,TY,34,135,125,125,135,1004,230,20,0,0,4
2012082300,952,95,TY,34,135,150,140,135,1000,200,15,0,15,4
2012082600,937,115,TY,50,120,110,110,115,1001,240,15,0,20,4
2012082606,941,110,TY,50,120,110,110,115,1001,240,15,0,10,4
2012082618,948,100,TY,50,115,110,110,115,999,240,15,0,10,4
2012082612,944,105,TY,50,110,110,110,110,999,240,15,0,10,4
2012082518,933,120,TY,50,120,110,100,105,999,210,15,0,20,4
2012082418,929,125,TY,50,110,85,75,100,995,200,20,0,10,4
2012082500,929,125,TY,50,110,85,75,100,995,210,20,150,15,4
2012082700,956,90,TY,50,100,105,100,100,999,230,25,0,0,4
2012082706,967,75,TY,50,100,100,100,100,999,230,25,0,0,4
2012082712,970,70,TY,50,100,100,100,100,999,230,25,0,0,4
2012082506,933,120,TY,50,100,100,90,90,995,210,30,0,20,4
2012082512,933,120,TY,50,100,100,90,90,995,210,30,0,20,4
2012082306,948,100,TY,50,75,65,60,80,1000,220,15,0,0,4
2012082312,948,100,TY,50,75,65,60,80,1000,220,15,0,0,4
2012082318,944,105,TY,50,100,60,60,80,1000,200,20,0,0,4
2012082400,944,105,TY,50,100,60,60,80,1000,190,20,0,0,4
2012082406,941,110,TY,50,100,60,60,80,995,190,20,0,20,4
2012082412,933,120,TY,50,100,60,60,80,995,190,20,0,20,4
2012082718,970,70,TY,50,80,80,80,80,1000,240,25,0,0,4
2012082200,963,80,TY,34,80,70,70,75,1005,220,20,100,0,4
2012082118,967,75,TY,34,70,60,60,65,1005,200,20,0,0,4
2012082518,933,120,TY,64,70,65,60,65,999,210,15,0,20,4
2012082600,937,115,TY,64,70,60,60,65,1001,240,15,0,20,4
2012082606,941,110,TY,64,70,60,60,65,1001,240,15,0,10,4
2012082112,974,65,TY,34,60,55,55,60,1005,170,25,0,0,4
2012082612,944,105,TY,64,60,60,60,60,999,240,15,0,10,4
2012082618,948,100,TY,64,60,60,60,60,999,240,15,0,10,4
2012082218,956,90,TY,50,55,50,50,55,1004,230,20,0,0,4
2012082300,952,95,TY,50,55,50,50,55,1000,200,15,0,15,4
2012082506,933,120,TY,64,60,60,55,55,995,210,30,0,20,4
2012082512,933,120,TY,64,60,60,55,55,995,210,30,0,20,4
2012082700,956,90,TY,64,55,55,55,55,999,230,25,0,0,4
2012082706,967,75,TY,64,55,55,55,55,999,230,25,0,0,4
2012082712,970,70,TY,64,55,55,55,55,999,230,25,0,0,4
2012082200,963,80,TY,50,45,40,40,45,1005,220,20,100,0,4
2012082206,963,80,TY,50,55,50,40,45,1005,220,20,0,0,4
2012082212,956,90,TY,50,55,50,40,45,1005,220,20,0,0,4
